X,Y,UNIT_NAME,STATE,UNIT_TYPE
145.724001308315394,15.215015174455337,American Memorial Park,MP,Park
-122.687715904690862,48.21401400265372,Ebey's Landing National Historical Reserve,WA,National Historical Reserve
-118.715153590143174,47.911637502205956,Lake Roosevelt National Recreation Area,WA,National Recreation Area
-124.067632444960225,46.286182536374788,Lewis and Clark National Historical Park,WA,National Historical Park
-123.618345337701712,47.794565485540041,Olympic National Park,WA,National Park
-118.720179620140371,34.083770845322654,Santa Monica Mountains National Recreation Area,CA,National Recreation Area
-115.352313901133215,36.406024314409102,Tule Springs Fossil Beds National Monument,NV,National Monument
-68.244109986164602,44.350731795246091,Acadia National Park,ME,National Park
-155.506758655115988,19.131537048151525,Ala Kahakai National Historic Trail,HI,National Historic Trail
-101.295934624247849,29.574790565385591,Amistad National Recreation Area,TX,National Recreation Area
-80.381076766843037,37.351754540716328,Appalachian National Scenic Trail,ME,National Scenic Trail
-75.249624419824968,38.039027290792703,Assateague Island National Seashore,MD,National Seashore
-81.081152822209873,25.970432921376172,Big Cypress National Preserve,FL,National Preserve
-84.665121703642342,36.534665624465021,Big South Fork National River and Recreation Area,TN,National River and Recreation Area
-81.070564655738764,36.436498625276812,Blue Ridge Parkway,NC,Parkway
-80.960820269441768,37.589963876979731,Bluestone National Scenic River,WV,National Scenic River
-75.531193531187583,35.242411975402447,Cape Hatteras National Seashore,NC,National Seashore
-76.190039256921281,34.95824425036411,Cape Lookout National Seashore,NC,National Seashore
-84.266764706282814,33.972410535021375,Chattahoochee River National Recreation Area,GA,National Recreation Area
-85.254011909057851,34.918969033030308,Chickamauga and Chattanooga National Military Park,GA,National Military Park
-77.944841910149052,39.599651601990153,Chesapeake and Ohio Canal National Historical Park,DC,National Historical Park
-81.452533849066839,30.858526642164232,Cumberland Island National Seashore,GA,National Seashore
-80.88182401337437,25.372167622977642,Everglades National Park,FL,National Park
-72.994352263880387,40.691829649601068,Fire Island National Seashore,NY,National Seashore
-75.709387608959986,35.936368266174831,Fort Raleigh National Historic Site,NC,National Historic Site
-81.004201996806728,38.206142002753843,Gauley River National Recreation Area,WV,National Recreation Area
-83.526275316575877,35.609274713431098,Great Smoky Mountains National Park,NC,National Park
-75.146925213975834,39.945373702461147,Independence National Historical Park,PA,National Historical Park
-88.828422521831172,48.010954845029055,Isle Royale National Park,MI,National Park
-101.69709843106881,35.595856908928894,Lake Meredith National Recreation Area,TX,National Recreation Area
-71.330942852999485,42.646465734920362,Lowell National Historical Park,MA,National Historical Park
-92.930111560706919,44.772234862850773,Mississippi National River and Recreation Area,MN,National River and Recreation Area
-116.278022050403905,45.794279287683686,Nez Perce National Historical Park,WA,National Historical Park
-80.989704364015751,37.840264693337559,New River Gorge National River,VA,National River
-84.722447778838387,36.084580160785059,Obed Wild and Scenic River,TN,Wild and Scenic River
-91.408741014604544,32.635298452613505,Poverty Point National Monument,LA,National Monument
-124.031655084019562,41.37133097014511,Redwood National Park,CA,National Park
-102.52897061841081,29.757557330452077,Rio Grande Wild and Scenic River,TX,Wild and Scenic River
-66.117490204552169,18.468843490818212,San Juan National Historic Site,PR,National Historic Site
-78.676199628548872,38.281065415065186,Shenandoah National Park,VA,National Park
-88.342131021445766,35.138522043363494,Shiloh National Battlefield,MS,National Battlefield
-86.015218879159434,45.11160541658132,Sleeping Bear Dunes National Lakeshore,MI,National Lakeshore
-75.670372506851166,41.407575136600137,Steamtown National Historic Site,PA,National Historic Site
-86.434080035168407,35.873187492023249,Stones River National Battlefield,TN,National Battlefield
-81.471408324552002,30.431089835761373,Timucuan Ecological and Historic Preserve,FL,Ecological and Historic Preserve
-90.843097237838336,32.36451085112504,Vicksburg National Military Park,LA,National Military Park
-78.316086089452256,38.99237929600568,Cedar Creek and Belle Grove National Historical Park,VA,National Historical Park
-107.428636290731319,45.565053788348223,Little Bighorn Battlefield National Monument,MT,National Monument
-103.971042762794909,36.781710678398817,Capulin Volcano National Monument,NM,National Monument
-109.451131712652568,32.149259156412725,Fort Bowie National Historic Site,AZ,National Historic Site
-108.273295820971285,33.227609712114329,Gila Cliff Dwellings National Monument,NM,National Monument
