Abraham Lincoln Birthplace,abli,National Historical Park,KY,37.5858662,-85.67330523
Acadia,acad,National Park,ME,44.409286,-68.247501
Adams,adam,National Historical Park,MA,42.2553961,-71.01160356
African American Civil War Memorial,afam,,DC,38.9166,-77.026
African Burial Ground,afbg,National Monument,NY,40.71452681,-74.00447358
Agate Fossil Beds,agfo,National Monument,NE,42.42170419,-103.753886
Ala Kahakai,alka,National Historic Trail,HI,19.144668109,-155.890734294
Alagnak,alag,Wild River,AK,59.05180188,-156.112002
Alaska Public Lands,anch,,AK,61.2188,-149.894536
Alcatraz Island,alca,,CA,37.82676234,-122.4230206
Aleutian Islands World War II,aleu,National Historic Area,AK,53.9143,-166.5197
Alibates Flint Quarries,alfl,National Monument,TX,35.5819662,-101.6717008
Allegheny Portage Railroad,alpo,National Historic Site,PA,40.42977467,-78.57431622
Amache,amch,National Historic Site,CO,38.04962,-102.32903
American Memorial,amme,Park,MP,15.21680033,145.7231096
Amistad,amis,National Recreation Area,TX,29.53539777,-101.075821
Anacostia,anac,Park,DC,38.8782,-76.9703
Andersonville,ande,National Historic Site,GA,32.19831758,-84.12988898
Andrew Johnson,anjo,National Historic Site,TN,36.15624509,-82.83709021
Aniakchak,ania,National Monument & Preserve,AK,56.85317675,-157.5544362
Antietam,anti,National Battlefield,MD,39.46763452,-77.73828017
Apostle Islands,apis,National Lakeshore,WI,46.96240467,-90.66045665
Appalachian,appa,National Scenic Trail,"CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV",40.41029575,-76.4337548
Appomattox Court House,apco,National Historical Park,VA,37.38022164,-78.79856982
Arches,arch,National Park,UT,38.72261844,-109.5863666
Arkansas Post,arpo,National Memorial,AR,34.00389998,-91.30837178
"Arlington House, The Robert E. Lee Memorial",arho,,VA,38.8822021484,-77.0734786987
Assateague Island,asis,National Seashore,"MD,VA",38.05593172,-75.24524611
Aztec Ruins,azru,National Monument,NM,36.83682216,-107.9999245
Badlands,badl,National Park,SD,43.68584846,-102.482942
Baltimore-Washington,bawa,Parkway,MD,39.02604289,-76.85410921
Bandelier,band,National Monument,NM,35.77898596,-106.3317124
Belmont-Paul Women's Equality,bepa,National Monument,DC,38.89231541,-77.00381882
Bent's Old Fort,beol,National Historic Site,CO,38.03977546,-103.4266499
Bering Land Bridge,bela,National Preserve,AK,65.96087902,-164.4086432
Big Bend,bibe,National Park,TX,29.29817767,-103.2297897
Big Cypress,bicy,National Preserve,FL,25.97079602,-81.08120629
Big Hole,biho,National Battlefield,MT,45.64647324,-113.6458443
Big South Fork,biso,National River & Recreation Area,"KY,TN",36.5348388,-84.66506688
Big Thicket,bith,National Preserve,TX,30.457983431,-94.386742115
